n,m,seed,greedy,ga,q
2000.0,100.0,40.0,39128.16333333334,8476.248666666666,4.616212297688609
2000.0,200.0,41.0,30343.733333333334,7011.586333333333,4.327655952701907
2000.0,200.0,42.0,31959.15666666667,7032.696000000001,4.544367717112565
2000.0,200.0,43.0,32850.73,7578.349666666666,4.334813177662385
2000.0,200.0,44.0,31978.07833333333,7578.981000000002,4.219311056899777
2000.0,200.0,45.0,40717.20166666667,9649.794666666665,4.219488919004288
2000.0,200.0,46.0,41053.36333333333,9750.468333333332,4.210399124418126
2000.0,200.0,47.0,32886.275,7076.155666666666,4.6474776063669605
2000.0,200.0,48.0,31141.551666666677,6996.801333333334,4.450826911192372
2000.0,200.0,49.0,39535.74000000001,9528.622333333333,4.149155944789082
2000.0,200.0,50.0,40042.55499999999,9480.323333333334,4.223754147625765
2000.0,344.0,51.0,32681.595000000005,9002.870333333334,3.630130590573503
2000.0,344.0,52.0,32396.825000000004,8350.024,3.8798481297778316
2000.0,344.0,53.0,32879.326666666675,8966.213666666667,3.6670246649263816
2000.0,344.0,54.0,32185.988333333342,8995.304,3.5780878926752604
2000.0,344.0,55.0,42964.58666666666,11371.771333333334,3.7781789140208404
2000.0,344.0,56.0,33210.62833333334,8970.884333333335,3.7020462085250383
2000.0,344.0,57.0,33234.42000000001,8929.140333333333,3.7220178829458814
2000.0,344.0,58.0,32814.33999999999,8966.1,3.6598231114977513
2000.0,344.0,59.0,32464.324999999997,8989.348333333332,3.6114214063347942
2000.0,344.0,60.0,42949.73500000001,11389.193333333333,3.7710954360829776
3000.0,100.0,61.0,55576.183333333334,11369.252666666667,4.888288171858144
3000.0,100.0,62.0,43861.835000000014,9026.276000000002,4.8593500797006435
3000.0,100.0,63.0,42846.53833333334,8955.262333333332,4.78450956973641
3000.0,100.0,64.0,42731.58999999998,8972.920999999998,4.76228309599516
3000.0,100.0,65.0,43314.699999999975,9012.393,4.806126408380102
3000.0,100.0,66.0,59158.61,11451.961000000001,5.165806100806665
3000.0,100.0,67.0,44313.343333333345,9011.998666666666,4.9171493441558445
3000.0,100.0,68.0,47804.171666666654,9031.164666666667,5.293245492810929
3000.0,100.0,69.0,44778.70333333336,8401.964333333333,5.3295517044367395
3000.0,100.0,70.0,47166.17166666665,9015.753,5.231528821460242
3000.0,200.0,71.0,46277.504999999976,9942.720333333335,4.654410809972492
3000.0,200.0,72.0,47885.55499999999,10013.371000000003,4.7821612721629885
3000.0,200.0,73.0,61963.06999999997,12870.008000000002,4.814532360819042
3000.0,200.0,74.0,59074.75500000001,12740.434666666668,4.636792742602398
3000.0,200.0,75.0,45049.720000000016,9145.619666666666,4.92582478191108
3000.0,200.0,76.0,47611.993333333325,10046.953666666666,4.73894823376147
3000.0,200.0,77.0,47205.49333333334,10001.947666666667,4.71963010670955
3000.0,200.0,78.0,61772.586666666684,12828.914333333334,4.815106334147321
3000.0,200.0,79.0,60490.289999999986,12812.487333333334,4.721198033314477
3000.0,200.0,80.0,46911.45666666665,9975.612666666668,4.702614088397843
3000.0,344.0,81.0,48610.80166666669,11479.680000000002,4.234508424160489
3000.0,344.0,82.0,49326.31666666667,11442.902,4.310647479692361
3000.0,344.0,83.0,47837.31500000001,11406.901333333331,4.193716908921571
3000.0,344.0,84.0,62933.564999999995,14716.887666666666,4.27628221573932
3000.0,344.0,85.0,62984.80833333334,14709.905999999999,4.281795433181785
3000.0,344.0,86.0,61253.253333333334,14632.105,4.186222920990065
3000.0,344.0,87.0,63268.21000000001,14644.146666666667,4.320375330848913
3000.0,344.0,88.0,48611.233333333344,11413.764666666668,4.259000842666753
3000.0,344.0,89.0,47763.51333333333,10463.971333333333,4.564568442688776
3000.0,344.0,90.0,48236.41333333335,10452.164999999997,4.614968605387818
4000.0,100.0,91.0,63165.30999999999,10806.092666666667,5.845342247975045
4000.0,100.0,92.0,62221.75666666667,10782.694333333331,5.77052031182188
4000.0,100.0,93.0,53851.04833333336,10702.681,5.031547547136401
4000.0,100.0,94.0,55178.15666666666,10690.858000000002,5.161246802330239
4000.0,100.0,95.0,55907.440000000024,10713.774000000001,5.21827695824086
4000.0,100.0,96.0,79362.81166666665,14757.627666666667,5.3777486096850735
4000.0,100.0,97.0,76486.76333333338,14686.014666666666,5.2081361124429435
4000.0,100.0,98.0,64049.815000000024,11596.381,5.523258937421945
4000.0,100.0,99.0,78361.90166666667,14742.091666666665,5.31552125970365
4000.0,100.0,100.0,56521.38333333334,11444.57,4.938707468549132
4000.0,200.0,101.0,62138.58833333332,11650.872666666666,5.333384898378712
4000.0,200.0,102.0,58657.864999999976,11377.752333333334,5.155487945378313
4000.0,200.0,103.0,62468.081666666665,11702.916666666666,5.337821625663119
4000.0,200.0,104.0,63610.07666666669,12744.472666666668,4.991189383067976
4000.0,200.0,105.0,82257.94166666672,16111.977333333334,5.105390850847774
4000.0,200.0,106.0,63475.725,11595.935666666666,5.47396319060871
4000.0,200.0,107.0,81199.27999999996,16111.923666666666,5.039701135624792
4000.0,200.0,108.0,62278.314999999944,11704.094666666668,5.321070682841362
4000.0,200.0,109.0,82216.76333333335,16125.629666666666,5.098514912771677
4000.0,200.0,110.0,63228.22166666667,12614.407666666668,5.012381345003305
4000.0,344.0,111.0,64477.04333333335,12790.905999999999,5.040850377083012
4000.0,344.0,112.0,65470.376666666656,13994.339333333337,4.678347087863
4000.0,344.0,113.0,64817.67166666667,14042.796333333335,4.615723971785391
4000.0,344.0,114.0,65748.04000000002,13893.135333333334,4.732411973433596
4000.0,344.0,115.0,63339.693333333365,12810.054666666667,4.944529510724963
4000.0,344.0,116.0,63267.98833333331,13900.588666666668,4.551461082007892
4000.0,344.0,117.0,63249.14333333332,12780.213,4.9489897651418895
4000.0,344.0,118.0,65071.17666666662,14102.513666666666,4.614154483712487
4000.0,344.0,119.0,65066.16833333336,13895.936333333335,4.682388201308446
4000.0,344.0,120.0,63669.61833333334,12778.689666666667,4.982484119589831
5000.0,100.0,121.0,91354.59499999997,17644.749,5.17743805820077
5000.0,100.0,122.0,71522.92000000003,14145.018000000002,5.056403604435146
5000.0,100.0,123.0,72081.24,13152.814333333334,5.480290238517521
5000.0,100.0,124.0,96982.29166666663,17765.356000000003,5.459068293743543
5000.0,100.0,125.0,68618.54999999999,12976.675333333333,5.287837465096992
5000.0,100.0,126.0,70354.90333333334,13016.102666666666,5.405220374721487
5000.0,100.0,127.0,72302.11499999999,14132.754333333334,5.1159252679761895
5000.0,100.0,128.0,72008.34833333336,13377.209333333332,5.382912574590796
5000.0,100.0,129.0,65473.13166666663,12946.207,5.057321551143638
5000.0,100.0,130.0,71159.00999999998,14150.534333333333,5.028715405634975
5000.0,200.0,131.0,78043.02499999997,15139.334000000003,5.154984030341094
5000.0,200.0,132.0,99952.16666666667,19242.571000000004,5.194324950998838
5000.0,200.0,133.0,83599.61666666668,15250.981333333335,5.481589337726552
5000.0,200.0,134.0,78646.38500000002,15135.108000000002,5.196288325131213
5000.0,200.0,135.0,77198.80999999995,14018.932333333334,5.506753878570445
5000.0,200.0,136.0,77013.64333333336,15124.600666666665,5.091945568061502
5000.0,200.0,137.0,103984.22666666664,19248.42033333333,5.402221318213454
5000.0,200.0,138.0,77111.83000000005,15153.744,5.08863222184564
5000.0,200.0,139.0,76328.76000000002,15108.596666666665,5.052008580545427
5000.0,200.0,140.0,75965.00166666663,14020.785,5.418027711477398
5000.0,344.0,141.0,81304.39666666668,16549.075,4.91292695613904
5000.0,344.0,142.0,104413.65999999987,21014.821333333333,4.968572339674418
5000.0,344.0,143.0,104525.83833333332,21000.965333333334,4.977192080186281
5000.0,344.0,144.0,103738.09,21005.042999999998,4.938723048555531
5000.0,344.0,145.0,80366.95666666667,16553.149666666668,4.855085484335518
5000.0,344.0,146.0,104852.15333333334,20974.298666666662,4.999077919109128
5000.0,344.0,147.0,79337.32999999997,15152.396333333332,5.235959267080943
5000.0,344.0,148.0,81270.99000000005,16556.640333333333,4.908664340335878
5000.0,344.0,149.0,81000.96166666664,16458.235333333334,4.921606723086106
5000.0,344.0,150.0,106159.70333333332,21036.98933333333,5.046335369154852
6000.0,100.0,151.0,85644.715,16547.415,5.175715663141342
6000.0,100.0,152.0,90830.12500000007,15718.435000000001,5.778573057686727
6000.0,100.0,153.0,86298.84833333336,16885.302333333333,5.110885587341277
6000.0,100.0,154.0,108983.2733333332,20881.249333333333,5.219193142785767
6000.0,100.0,155.0,85190.29500000004,16579.154,5.13839819571011
6000.0,100.0,156.0,86208.71000000004,15631.292000000001,5.515136560688651
6000.0,100.0,157.0,85096.77666666667,15682.939999999999,5.426072959959464
6000.0,100.0,158.0,113088.74333333333,20784.22466666667,5.441085493783313
6000.0,100.0,159.0,77982.61333333334,15560.013333333332,5.011731780863942
6000.0,100.0,160.0,87995.93499999997,15719.518,5.597877428557286
6000.0,200.0,161.0,123610.27166666664,22438.182999999997,5.508925195354127
6000.0,200.0,162.0,122009.06499999999,22372.96466666667,5.453415173974707
6000.0,200.0,163.0,118814.60666666672,22308.69866666667,5.325931756126939
6000.0,200.0,164.0,88798.3516666667,17399.715,5.103437134841961
6000.0,200.0,165.0,123606.2916666667,22391.398999999998,5.520257651907624
6000.0,200.0,166.0,120106.13833333334,22390.946000000004,5.364049305167067
6000.0,200.0,167.0,121654.73833333334,22435.213333333333,5.422490819491502
6000.0,200.0,168.0,122534.02500000005,22401.664999999997,5.469862396388843
6000.0,200.0,169.0,91556.33,17538.706,5.220244298524647
6000.0,200.0,170.0,122607.31999999992,22357.064333333332,5.4840527437763
6000.0,344.0,171.0,97306.34999999996,18980.883999999995,5.126544685695355
6000.0,344.0,172.0,96182.74833333335,18999.50233333333,5.062382511177005
6000.0,344.0,173.0,96052.17000000004,17470.257666666665,5.4980396873749635
6000.0,344.0,174.0,94291.43500000004,17462.661666666663,5.399602695159972
6000.0,344.0,175.0,126717.69666666667,24293.235666666667,5.2161720408672885
6000.0,344.0,176.0,93901.9083333333,17466.640666666666,5.376071456747586
6000.0,344.0,177.0,95068.22333333334,18990.056666666664,5.006210618644811
6000.0,344.0,178.0,125401.55000000006,24247.379666666668,5.171756772233494
6000.0,344.0,179.0,95049.61999999998,17462.286666666667,5.443137076740235
6000.0,344.0,180.0,95350.47833333335,18975.783333333333,5.02485070884206
7000.0,100.0,181.0,131337.65333333326,23896.77866666667,5.4960400799348985
7000.0,100.0,182.0,133179.83333333343,24270.95766666666,5.4872096586547325
7000.0,100.0,183.0,101159.79166666663,18276.228333333333,5.535047484724463
7000.0,100.0,184.0,138504.3466666666,24347.880666666664,5.688558629100118
7000.0,100.0,185.0,101909.24666666664,19392.782,5.255009140342352
7000.0,100.0,186.0,93680.1883333334,18011.275,5.201196935438129
7000.0,100.0,187.0,104041.35666666667,18302.563000000002,5.684523892455208
7000.0,100.0,188.0,103322.64500000006,19289.125666666667,5.356522985308288
7000.0,100.0,189.0,101493.95666666671,19267.65033333333,5.267583483756741
7000.0,100.0,190.0,138290.61333333343,24215.098333333335,5.710925119100972
7000.0,200.0,191.0,109160.07166666664,20229.193666666662,5.396165238485943
7000.0,200.0,192.0,114390.58499999996,20287.799333333336,5.638392963205897
7000.0,200.0,193.0,111900.56000000001,20117.791,5.5622687401415
7000.0,200.0,194.0,108493.84833333337,18741.902000000002,5.788838738636739
7000.0,200.0,195.0,105942.06000000006,18902.874,5.604547752897261
7000.0,200.0,196.0,147166.49166666679,25819.977666666666,5.699714134790181
7000.0,200.0,197.0,104118.74333333336,20000.828999999998,5.205721389515073
7000.0,200.0,198.0,108731.30166666667,20062.99633333333,5.419494668700949
7000.0,200.0,199.0,140481.5400000001,25625.977,5.481997427844414
7000.0,200.0,200.0,108269.25999999997,20087.84866666667,5.389788712400028
7000.0,344.0,201.0,110283.75499999996,19799.61033333333,5.569996234437677
7000.0,344.0,202.0,110987.66333333329,19815.833333333336,5.6009586610034034
